show_name,key_creatives,network,studio,date,genre,subgenre,episode_count,source_type,status,order_type,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blade Runner 2099,"Silka Luisa, Tom Spezialy, Ridley Scott, Andrew Kosove, Broderick Johnson",Prime Video,Amazon Studios,2023-01-01,Drama,,,Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blockbuster,"Vanessa Ramos, David Caspe, Jackie Clarke, John Davis, John Fox, Payman Benz",Netflix,Universal Television,2023-01-01,Comedy,,10,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Eye Samurai,"Michael Green, Amber Noizumi, Erwin Stoff, Jane Wu",Netflix,Netflix,2021-01-01,Animation,"Action, Period Drama",,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonding,"Rightor Doyle, Zoe Levin, Brendan Scannell, Micah Stock",Blackpills,Anonymous Content,2017-11-28,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Blue,Donnie Wahlberg,CBS,,2025-02-18,Drama,Crime,,TV Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breathe,"Martin Gero, Brendan Gall, Maggie Kiley",Netflix,Warner Bros. Television,2021-01-01,Drama,"Thriller, Survival",,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brother From Another Mother,"West Read, Woody Harrelson, Matthew McConaughey, David Ellison, Dana Goldberg, Matt Thunell, Bill Bost, Jeremy Plager",Apple TV+,Skydance Television,2023-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bupkis,"Pete Davidson, Pete Davidson",Peacock,Universal Studio Group,2022-04-27,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butch & Sundance,"Alex Metcalf, Kaz Firpo, Ryan Firpo, Regé-Jean Page, Glen Powell",Prime Video,AGBO,2023-01-01,Drama,,,Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butterfly,"Ken Woodruff, Steph Cha, Daniel Dae Kim, John Cheng, Stephen Christy, Ross Richie, Arash Amel, Adam Yoelin",Prime Video,3AD,2023-01-01,Drama,,,Comic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
