show_name,key_creatives,network,studio,date,genre,subgenre,episode_count,source_type,status,order_type,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Made for Love,"Patrick Somerville (w, ep, sr), S.J. Clarkson (d, ep), Alissa Nutting (ep), Liza Chasin (ep), Dean Bakopoulos (ep)",HBO,"WarnerMedia Entertainment, Paramount Television",2021-01-01,Drama,,,Book,,,"Hazel Green is a thirtysomething woman on the run after 10 years in a suffocating marriage to Byron Gogol, an unstable, needy, possibly sociopathic tech billionaire. Soon she discovers that her husband already has implanted a revolutionary monitoring device – the Made for Love chip – in her brain, allowing him to track her, watch her and know her thoughts and feelings as she tries to stay alive. The chip allows allows Byron unprecedented access to Hazel’s brain as she flees to her desert hometown to take refuge with her aging widower father. Based on Alissa Nutting’s novel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,"Maggie Mull (w, ep), Justin Adler (w, ep), Evan Hayes (ep), Jeff Morton (ep)",Hulu,20th Television,2021-01-01,Comedy,,,Film,,,"A young woman tries to cope with life while coming to terms with her abilities as a psychic. She can see everyone’s future, but her present is a mess. Based on the short film by Tim Curcio.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maid,"Molly Smith Metzler, John Wells, Erin Jontow, Margot Robbie, Tom Ackerley, Brett Hedblom, Stephanie Land",Netflix,John Wells Productions,2021-01-01,Drama,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammals,"Jez Butterworth, James Corden, James Richardson, Stephanie Laing",Prime Video,Amazon Studios,2021-01-01,Drama,,6,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man on Fire,"Kyle Killen, Arnon Milchan, Yariv Milchan, Michael Schaefer, Peter Chernin, Jenno Topping, Bill McGoldrick, Juan Alfonso, Scott Pennington",Netflix,New Regency Productions,2023-01-01,Drama,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manhunt,"Monica Beletsky, Carl Franklin, Layne Eskridge Swanson, Michael Rotenberg, Richard Abate, Frank Smith, Naia Cucukov",Apple TV+,Apple Studios,2023-01-01,Drama,Historical,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margo's Got Money Troubles,"David E. Kelley, Elle Fanning, Nicole Kidman, Michelle Pfeiffer",Apple TV+,,2024-09-23,Drama,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary & George,"DC Moore, Oliver Hermanus, Sam Hoyle, Liza Marshall",AMC,Hera Pictures,2023-01-01,Drama,"Historical, Biography",,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masters of the Air,"John Orloff, Graham Yost, Steven Spielberg, Tom Hanks, Gary Goetzman, Cary Joji Fukunaga, Darryl Frank, Justin Falvey, Steven Shareshian",Apple TV+,Apple Studios,2023-01-01,Drama,"History, War",,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mere Mortals,"Ashly Burch, John Howell Harris, Katie McElhenney, Megan Ganz, Rob McElhenney, David Hornsby, Charlie Day, Nick Frenkel, Michael Rotenberg, Jason Altman, Margaret Boykin",Apple TV+,Lionsgate Television,2023-01-01,Comedy,Science Fiction,,TV Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minx,"Ellen Rapoport (w, ep, sr), Paul Feig (ep), Dan Magnante (ep), Rachel Lee Goldenberg (d)",HBO,"Feigco Entertainment, Lionsgate Television",2021-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MODOK,"Jordan Blum (w, ep), Patton Oswalt (w, ep), Brett Crawley (ep), Robert Maitia (ep), Grant Gish (ep), Joe Quesada (ep), Karim Zreik (ep), Jeph Loeb (ep)",Hulu,"Marvel Television, 20th Television",2021-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster: The Jeffrey Dahmer Story,"Janet Mock, Ryan Murphy, Ian Brennan, Carl Franklin",Netflix,Netflix,2021-01-01,Drama,"Crime, Biography",,True Story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monsterland,"Mary Laws (w, ep), Babak Anvari (ep), Lucan Toh (ep)",Hulu,Annapurna Television,2021-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moon Knight,"Jeffrey Slater (w, ep, sr), Mohamed Diab (d), Justin Benson (d), Aaron Moorhead (d)",Paramount+,Marvel Television,2023-01-01,Drama,,,Comic,,,"Follows Marvel's Moon Knight, aka Marc Spector, a mercenary who has numerous alter egos — cabbie Jake Lockley and millionaire playboy Steven Grant — in order to better fight the criminal underworld. But later he was established as being a conduit for the Egyptian moon god Khonshu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moonhaven,"Peter Ocko, Deb Spera",AMC,AMC Studios,2023-01-01,Drama,Science Fiction,6,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More,"Amy Chozick (w, ep, sr), Natalie Chaidez (ep, sr), Greg Berlanti (ep), Sarah Schechter (ep), Leigh London Redman (ep)",HBO,"Berlanti Productions, Warner Bros. Television",2021-01-01,Drama,,,Original,,Limited,"Follows the Lorenz family, a tightknit clan of seemingly flawless Latinas led by mom/mastermind Leona. The Lorenzes are the Vanderbilts or the Astors of the Instagram era. They pulled their way up from debt and obscurity to reality TV stardom and forged a billion-dollar mega-conglomerate not from oil or steel but from something more elusive and modern: influence.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. & Mrs. Smith,Francesca Sloane,Prime Video,New Regency Productions,2021-01-01,Drama,,,Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Corman,Joseph Gordon-Levitt,Apple TV+,A24,2023-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. American Pie,"Abe Sylvia, Tate Taylor, Laura Dern, John Norris, Katie O'Connell Marsh",Apple TV+,Apple Studios,2023-01-01,Drama,,10,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. Davis,"Damon Lindelof, Tara Hernandez",Peacock,,2021-05-27,Drama,,10,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mulligan,"Robert Carlock, Sam Means, Tina Fey, David Miner, Eric Gurian, Scott Greenberg, Joel Kuwahara",Netflix,Universal Television,2023-01-01,Animation,Comedy,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Lady Jane,"Gemma Burgess, Meredith Glynn, Sarah Bradshaw, Jamie Babbit",Prime Video,Parkes+MacDonald,2023-01-01,Comedy,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Life with the Walter Boys,"Melanie Halsall (Writer, Showrunner, Executive Producer), Ed Glauser (Executive Producer)",Netflix,Sony Pictures Television,2023-01-01,Drama,,,Book,,,"Centers on Jackie Howard, a 15-year old Manhattanite who, following the loss of her family in an accident, has to learn to adapt to a new life in rural Colorado with her guardian -- and 10 very rowdy boys.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Treasure: Edge of History,"Marianne Wibberley (w, ep), Cormac Wibberley (w ep), Jerry Bruckheimer (ep), Jon Turteltaub (d, ep), Rick Muirragui (w, ep), Jonathan Littman (ep), KristieAnne Reed (ep), Mira Nair (d, ep)",Paramount+,"Disney Television, ABC Signature",2023-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCIS: Origins,"Mark Harmon, Sean Harmon, Gina Lucita Monreal, David J. North",CBS,,2024-01-05,Drama,Procedural,,TV Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neon,"Shea Serrano, Max Searle, Scooter Braun, Scott Manson, James Shin, Kyle Vinuya, Jordan Mendoza",Netflix,SB Projects,2023-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Never Let Me Down,"Melissa Iqbal, Marc Munden, Alex Garland, Andrew Macdonald, Allon Reich, Maria Fleischer, Kazuo Ishiguro",FX,,2023-01-01,Drama,Science Fiction,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nine Perfect Strangers,"David E. Kelley (w, ep, sr), Samantha Strauss (w), Nicole Kidman (ep), Bruna Papandrea (ep), Steve Hutensky (ep), Per Saari (ep), Liane Moriarty (ep), Jonathan Levine (d, ep)",Hulu,"Made Up Stories, Blossom Films, Endeavor Content",2021-01-01,Drama,,,Book,,Limited,"Set at a boutique health-and-wellness resort that promises healing and transformation as nine stressed city dwellers try to get on a path to a better way of living. Watching over them during this 10-day retreat is the resort’s director Masha, a woman on a mission to reinvigorate their tired minds and bodies. Based on the novel by Liane Moriarty.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Good Deed,"Liz Feldman, Will Ferrell, Jessica Elbaum, Brittney Segal, Christie Smith, Silver Tree",Netflix,,2023-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Dead Yet,"Casey Johnson (w, ep), David Windsor (w, ep), Gina Rodriguez (ep), McG (ep), Mary Viola (ep), Corey Marsh (ep), Dean Holland (d)",ABC,20th Television,2022-01-01,Comedy,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Now and Then,"Ramón Campos, Gema R. Neira, Teresa Fernández-Valdés, Gideon Raff",Apple TV+,Bambú Producciones,2023-01-01,Drama,Thriller,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obi-Wan Kenobi,"Jobi Harold (w, ep), Deborah Chow (d, ep)",Paramount+,Lucasfilm,2023-01-01,Drama,,,Original,,,"Under wraps but story about Jedi Master Obi-Wan Kenobi is expected to take place between the final 'Star Wars' prequel movie 'Revenge of the Sith' and the 1977 original, later retitled 'A New Hope.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obliterated,"Jon Hurwitz (Writer, Showrunner, Executive Producer), Hayden Schlossberg (Writer, Showrunner, Executive Producer), Josh Heald (Writer, Showrunner, Executive Producer), Dina Hillier (Executive Producer)",Netflix,Sony Pictures Television,2023-01-01,Drama,Action,,Original,,,"An elite Special Forces team thwarts a deadly threat to Las Vegas, but after a celebratory party, filled with booze, drugs and sex, the team discovers that the bomb they deactivated was a fake. The now-intoxicated team has to fight through their impairments, overcome their personal issues, find the real bomb and save the world.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK Boomer,"Todd Linden (w, co-ep), Victor Gonzalez (d), Jamie Tarses (ep), Vanessa McCarthy (ep), McCrae Dunlap (co-ep)",HBO,"Sony Pictures Television,Fanfare",2021-01-01,Comedy,,,Original,,,"Barbara is a self-centered boomer who shows up at her estranged daughter Sarah’s house hoping to live off the family’s money, but she forms an unexpected bond with her progressive granddaughter, who’s quick to challenge her on their differing views — of which there are plenty.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLGA Dies Dreaming,"Xochitl Gonzalez (w, ep), Alfonso Gomez-Rejon (d, ep)",Hulu,20th Television,2021-01-01,Drama,,,Book,,Limited,"A Nuyorican brother and sister from a gentrifying Sunset Park in Brooklyn reckon with the absent, politically radical mother and their glittering careers among New York City’s elite in the wake of Hurricane Maria. Based on the forthcoming novel by Xochitl Gonzalez.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On the Spectrum,"Jason Katims, Jeni Mulein, Danna Stern",Prime Video,Universal Television,2021-01-01,Drama,,,TV Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On the Verge,"Julie Delpy, Alexia Landeau, Olivier Gauriat, Elisabeth Shue, Michael Gentile, Lauraine Heftler, Rola Bauer",Netflix,Netflix,2021-01-01,Drama,Dramedy,12,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Once Upon a Time in Aztlan,"Javier Rodriguez, Mathew Carnahan, George Lopez, Estevan Oriol",Prime Video,STXtelevision,2021-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Piece,"Steven Maeda (Writer, Showrunner, Executive Producer), Matt Owens (Writer, Executive Producer), Marty Adelstein (Executive Producer), Becky Clements (Executive Producer), Eiichiro Oda (Executive Producer)",Netflix,ITV Studios,,Action,Adventure,10,Comic,,,Follows the adventures of Monkey D. Luffy and his pirate crew as they explore a fantastical world of endless oceans and exotic islands in search of the world’s ultimate treasure known as “One Piece” to become the next Pirate King.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Murders in the Building,"Steve Martin (w, ep), John Hoffman (w, ep), Martin Short (ep), Selena Gomez (ep), Dan Fogelman (ep), Jess Rosenthal (ep)",Hulu,20th Television,2021-01-01,Comedy,,,Original,,,Three strangers who share an obsession with true crime and suddenly find themselves wrapped up in one.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orphan Black: Echoes,"Anna Fishko, John Fawcett, David Fortier, Ivan Schneeberg, Katie O'Connell Marsh, Nick Nantell, Kerry Appleyard",AMC,,2023-01-01,Drama,"Science Fiction, Mystery",10,TV Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Our Flag Means Death,,HBO,,2021-01-01,Comedy,,,Original,,,"Based loosely on the true adventures of Stede Bonnet, a pampered aristocrat who abandoned his life of privilege to become a pirate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Our Kind of People,"Karin Gist, Lee Daniels",Fox,,2020-09-29,Drama,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outer Range,"Brian Watkins, Brad Pitt, Zev Borow, Heather Rae",Prime Video,Plan B,2021-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overlook,"J.J. Abrams (ep), Ben Stephenson (ep)",HBO,"Bad Robot, Warner Bros. Television",2021-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Painkiller,"Micah Fitzerman-Blue, Noah Harpster, Eric Newman, Alex Gibney, Peter Berg",Netflix,Netflix,2021-01-01,Drama,Crime,,Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pam & Tommy,"Rob Siegel (w, ep), Craig Gillespie (d), Seth Rogen (ep), Evan Goldberg (ep), Dylan Sellers (ep)",Hulu,,2021-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panic,"Lauren Oliver, Joe Roth, Jeff Kirschenbaum, Adam Schroeder, Leigh Janiak, Alyssa Altman, Lynley Bird",Prime Video,Amazon Studios,2021-01-01,Drama,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantheon,"Craig Silverstein, Ken Liu",AMC,AMC Studios,2023-01-01,Drama,"Science Fiction, Animation",,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper Girls,"Christopher Cantwell, Christopher C. Rogers, Brian K. Vaughan, Cliff Chiang",Prime Video,Amazon Studios,2021-01-01,Drama,,,Comic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partner Track,"Georgia Lee, Sarah Goldfinger, Kim Shumway, Tony Hernandez, Kristen Campo, Julie Anne Robinson, Tanya Wexler, Kevin Berlandi, Lily Mariye, Charles Randolph-Wright",Netflix,Netflix,2021-01-01,Drama,Legal,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peacemaker,"James Gunn (w, d, ep), Peter Safran (ep), Matt Miller (ep), John Cena (co-ep)",HBO,"Troll Court Entertainment,The Safran Company,Warner Bros. Television",2021-01-01,Drama,,,Comic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peep Show,"Stefani Robinson, Dianne McGunigle, Jesse Armstrong, Sam Bain, Hannah Mackay, Ben Farrell, Yana Gorskaya",FX,FX Productions,2023-01-01,Comedy,,,TV Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percy Jackson and the Olympians,"Rick Riordan (w, ep), Jon Steinberg (w, ep), James Bobin (d, ep), Dan Shotz (ep), Rebecca Riordan (ep), Bert Salke (ep), Monica Owusu-Breen (ep), Jim Rowe (ep), Ellen Goldsmith-Vein (ep), Jeremy Bell (ep), D.J. Goldberg (ep)",Paramount+,20th Television,2023-01-01,Drama,,,Book,,,12-year-old Percy Jackson is a demigod who's just coming to terms with his newfound supernatural powers when the sky god Zeus accuses him of stealing his master lightning bolt. Now Percy must trek across America to find it and restore order to Olympus. Based on the book series by Rick Riordan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical,"Annie Weisman, Alexandra Cunningham, Craig Gillespie, Liza Johnson, Stephanie Laing, John McNamara, Sera Gamble, Marty Adelstein, Becky Clements",Apple TV+,Tomorrow Studios,2023-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pieces of Her,"Charlotte Stoudt, Lesli Linka Glatter, Bruna Papandrea, Minkie Spiro, Steve Hutensky, Casey Haver, Karin Slaughter, Janice Williams",Netflix,Netflix,2021-01-01,Drama,"Thriller, Mystery",8,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PONIES,"Susanna Fogel, David Iserson, Jessica Rhoades, Emilia Clarke (EP)",Peacock,,2024-08-26,Thriller,Thriller,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presumed Innocent,"David E. Kelley, J.J. Abrams, Jake Gyllenhaal, Dustin Thomason, Ben Stephenson, Rachel Rusch Rich, Matthew Tinker, Sharr White, Scott Turow, Miki Johnson",Apple TV+,Bad Robot,2023-01-01,Drama,"Crime, Legal",,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretty Little Liars: Original Sin,"Roberto Aguirre-Sacasa (w, ep), Lindsay Calhoon Bring (w, co-ep), Leslie Morganstein (ep), Lisa Soper (d)",HBO,"Alloy Entertainment, Warner Bros. Television",2021-01-01,Drama,,,Book,,,"Twenty years ago, a series of tragic events almost ripped the blue-collar town of Millwood apart. Now, in the present day, a group of disparate teen girls finds themselves tormented by an unknown assailant and made to pay for the secret sin their parents committed two decades ago -- as well as their own. Reboot of the 2010-17 ABC Family/Freeform series based on the book series by Sara Shepard.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ragdoll,"Freddy Syborn, Sally Woodward Gentle, Lee Morris, Dan McDermott, Kristin Jon, Philippa Collie Cousins, Lizzie Rusbridger",AMC,Sid Gentle Films,2023-01-01,Drama,"Crime, Thriller",,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap Sh*t,"Issa Rae (w, ep), Syreeta Singleton (ep, sr), Montrel McKay (ep), Sadé Clacken Joseph (d), Jonathan Berry (ep), Dave Becky (ep), Yung Miami (co-ep), JT (co-ep), Kevin “Coach K” Lee (co-ep), Pierre “P” Thomas (co-ep), Sara Rastogi (co-ep)",HBO,"Hoorae Productions, 3 Arts Entertainment, Quality Control Films",2021-01-01,Comedy,,,original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reacher,"Nick Santora, Lee Child, Don Granger, Scott Sullivan, Christopher McQuarrie, David Ellison, Dana Goldberg",Prime Video,Amazon Studios,2021-01-01,Drama,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reasonable Doubt,"Raamla Mohamed (w, ep), Kerry Washington (d, ep), Pilar Savone (ep), Larry Wilmore (ep), Shawn Holley (co-ep), Jon Leshay (ep)",Hulu,ABC Signature,2021-01-01,Drama,,,Original,,,"You can judge Jax Stewart for her questionable ethics and wild interpretations of the law -- until you’re the one in trouble. Then you’ll see her for what she is: the most brilliant and fearless defense attorney in Los Angeles, who bucks the justice system at every chance she gets.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebel,"Krista Vernoff (w, ep), John Davis (ep), John Fox (ep), Erin Brockovich (ep), Alexandre Schmitt (ep), Andrew Stern (ep), Tara Nicole Weyr (d), Mike Stein (co-ep)",ABC,"Sony Pictures Television,ABC Studios",2021-01-01,Drama,,,Original,,Limited,"Annie “Rebel” Bello is a blue-collar legal advocate without a law degree -- a funny, messy, brilliant and fearless woman who cares desperately about the causes she fights for and the people she loves. When Rebel applies herself to a fight she believes in, she will win at almost any cost. Inspired by the life of Erin Brockovich today.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reboot,"Steve Levitan (w, ep, sr), John Enbom (w, ep), Danielle Stokdyk (ep), Jeff Morton (ep)",Hulu,20th Television,2021-01-01,Comedy,,,Original,,,"When an early-2000s family sitcom is rebooted, its dysfunctional cast is forced back together and must deal with their unresolved issues in today’s fast-changing world.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rescue: HI-Surf,,Fox,John Wells Productions,2024-04-12,Drama,,7,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Evil,"Andrew Dab, Robert Kulzer, Oliver Berben, Mary Leah Sutton, Bronwen Hughes, Martin Moszkowicz",Netflix,Constantin Film,2021-01-01,Drama,"Science Fiction, Action",8,Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ripple,Michele Giannusa,Hallmark+ ,Lionsgate Television,2024-08-27,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivals,"Dominic Treadwell-Collins (w, ep), Laura Wade (w, ep), Alexander Lamb (ep), Elliot Hegarty (d, ep), Eliza Mellor (p), Sophie Goodhart (w), Marek Horn (w), Mimi Hare (w), Clare Naylor (w), Dare Aiyegbayo (w), Kefi Chadwick (w), Tray Agyeman (w), Sorcha Kurien Walsh (W)",Paramount+,Happy Prince,2023-01-01,Drama,,,Book,,,"Set in the fictional upper-class county of Rutshire, it dives headfirst into the cutthroat world of independent television in 1986 when a long-standing rivalry between two powerful men is about to boil over: ex-Olympian, Member of Parliament and notorious womanizer Rupert Campbell-Black and his neighbor Tony Baddingham, controller of the independent TV franchise Corinium Television. Based on Jilly Cooper's Rutshire Chronicles book series.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roar,"Liz Flahive, Carly Mensch, Nicole Kidman, Cecelia Ahern, Per Saari, Bruna Papandrea, Steve Hutensky, Allie Goss, Theresa Park",Apple TV+,Endeavor Content,2023-01-01,Drama,Anthology,8,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robo Force,,Nacelle,The Nacelle Company,2023-01-10,Animation,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roommates,"Chris Lloyd (w, ep), Vali Chandrasekaran (w, ep), Jason Schrift (ep), Matt DelPiano (ep), Tom Russo (ep), Adam Griffin (ep), Jeff Morton (ep), Kelsey Grammer (ep), Alec Baldwin (ep)",ABC,20th Television,2021-01-01,Comedy,,,Original,,,"Roommates in their 20s until their warring egos drove them apart, three men reunite decades later for one more run at the lives they’ve always wanted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run,"Vicky Jones, Phoebe Waller-Bridge, Emily Leo, Kate Dennis",HBO,Entertainment One,2021-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint X,"Leila Gerstein (w, ep), Dee Rees (d, ep), Stephen Williams (ep), Alexis Schaitkin (ep)",Hulu,ABC Signature,2021-01-01,Drama,,,Original,,Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sammy,"Lee Daniels (d, ep), Kimberly Harrison (ep, sr), Thomas Westfall (ep), Marc Toberoff (ep), Pam Williams (ep), Elijah Kelley (p), Wil Haygood (p)",Hulu,20th Television,2023-01-01,Drama,,,Original,,Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Inc.,"Alexandra Rushfield (w, ep, sr), Seth Rogen (ep), Sarah Silvermann (ep), Amy Zvin (ep), Rosa Trann (ep)",HBO,"Point Grey Pictures,Limelight,Annapurna Television",2021-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenes From a Marriage,"Hagai Levi, Michael Ellenberg, Lars Blomgren, Oscar Isaac, Daniel Bergman, Blair Breard, Amy Herzog",HBO,Media Res,2021-01-01,Drama,,,TV Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secret Invasion,TBA,Paramount+,Marvel Television,2023-01-01,Drama,,,Comic,,,"Follows MCU characters Nick Fury and the Skrull Talos, who first met in 'Captain Marvel,' and a faction of shape-shifting Skrulls who have been infiltrating Earth for years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Severance,"Dan Erickson, Ben Stiller, Chris Black, Nicky Weinstock, Jackie Cohn, Adam Scott, Patricia Arquette",Apple TV+,Endeavor Content,2023-01-01,Drama,Science Fiction,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexy Beast,"Michael Caleo (w, ep), Karyn Kusama (d, ep), Matt Manfredi (ep), Phil Hay (ep), Louis Mellis (ep), David Scinto (ep)",Paramount+,"Paramount Television, Anonymous Content",2021-01-01,Drama,,,Original,,,"Tells the origin story of Gal Dove, a brilliant thief who finds himself descending into the seductive madness of the London criminal world during the vibrant and volatile 1990s. The series will explore the early days of Gal’s complicated relationship with Don Logan, a vicious gangster with whom Gal forms a partnership; the beginnings of his association with criminal mastermind Teddy Bass; and how Gal met and fell in love with DeeDee, an adult film star who would become his wife.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shantaram,"Steven Lightfoot, Richard Sharkey, Bharat Nalluri, Justin Kurzel, Steve Golin, Nicole Clemens, Andrea Barron, Eric Singer",Apple TV+,Anonymous Content,2023-01-01,Drama,Crime,10,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
She-Hulk: Attorney at Law,"Kat Coiro (d, ep), Jessica Gao (w, ep), Anu Valia (d)",Paramount+,Marvel Television,2023-01-01,Comedy,,,Original,,,"Jennifer Walters is an attorney and cousin of Bruce Banner, aka The Hulk. An emergency blood transfusion from her cousin gave Walters her powers, but unlike Banner/Hulk, She-Hulk is able to keep her intelligence and personality when she Hulks out.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shifting Gears,"Mike Scully (ep), Julie Thacker Sully (ep), Tim Allen (ep), Marty Adelstein (ep), Becky Clements (ep), Richard Baker (ep), Rick Messina (ep)",ABC,20th Television,2025-01-01,Comedy,,,Original,,,"Matt is a stubborn widowed owner of a classic car restoration shop. When his estranged daughter and her teenage kids move into his house, the real restoration begins.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shining Girls,"Silka Luisa, Elisabeth Moss, Lindsey McManus, Leonardo DiCaprio, Jennifer Davisson, Lauren Beukes, Alan Page Arriaga",Apple TV+,MRC Entertainment,2023-01-01,Drama,"Drama, Thriller",,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinking Spring,"Peter Craig, Ridley Scott, David W. Zucker, Jordan Sheehan, Clayton Krueger, Brian Tyree Henry, Dennis Tafoya",Apple TV+,Apple Studios,2023-01-01,Drama,Crime,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slow Horses,"Will Smith, Graham Yost, Jamie Laurenson, Hakan Kousetta, Iain Canning, Emile Sherman, Gail Mutrux, Douglas Urbanski, James Hawes",Apple TV+,See-Saw Films,2023-01-01,Drama,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snowflakes,"Ben Kronengold, Rebecca Shaw, Jonathan Krisel, Nick Kroll, Alicia Van Couvering, Karey Dornetto",FX,FX Productions,2024-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
