show_name,name,roles,order,notes
Cada Minuto Cuenta,Jorge Michel Grau,,7,No role specified in original data
Cada Minuto Cuenta,Juan Manuel Borbolla,,8,No role specified in original data
Camp Friends,Lauren Herstik,"w, ep",1,
Camp Friends,Adam Goodman,ep,2,
Candy,Robin Veith,ep,1,
Candy,Nick Antosca,ep,2,
Candy,Michael Uppendahl,"d, ep",3,
Candy,Jessica Biel,ep,4,
Candy,Michelle Purple,ep,5,
Candy,Alex Hedlund,ep,6,
Candy,Jim Atkinson,p,7,
Candy,John Bloom,p,8,
Career Opportunities in Murder and Mayhem,Mike Weiss,"w, ep, sr",1,
Career Opportunities in Murder and Mayhem,Heidi Cole McAdams,"w, ep, sr",2,
Career Opportunities in Murder and Mayhem,Marc Webb,"d, ep",3,
Chief of War,Jason Momoa,,1,No role specified in original data
Chief of War,Thomas Pa'a Sibbett,,2,No role specified in original data
Chief of War,Doug Jung,,3,No role specified in original data
Chief of War,Justin Chon,,4,No role specified in original data
Chief of War,Francis Lawrence,,5,No role specified in original data
Chief of War,Peter Chernin,,6,No role specified in original data
Chief of War,Jenno Topping,,7,No role specified in original data
Chief of War,Erik Holmberg,,8,No role specified in original data
Chief of War,Molly Allen,,9,No role specified in original data
Chief of War,Brian Mendoza,,10,No role specified in original data
Chief of War,Anders Engstrom,,11,No role specified in original data
Citadel,Josh Appelbaum,,1,No role specified in original data
Citadel,André Nemec,,2,No role specified in original data
Citadel,Jeff Pinkner,,3,No role specified in original data
Citadel,Scott Rosenberg,,4,No role specified in original data
Citadel,Patrick Moran,,5,No role specified in original data
Citadel,Mike Larocca,,6,No role specified in original data
Citadel,Joe Russo,,7,No role specified in original data
Citadel,Anthony Russo,,8,No role specified in original data
Citadel,Priyanka Chopra Jonas,,9,No role specified in original data
Citadel,Richard Madden,,10,No role specified in original data
Citadel,Ashleigh Cummings,,11,No role specified in original data
City on Fire,Josh Schwartz,,1,No role specified in original data
City on Fire,Stephanie Savage,,2,No role specified in original data
City on Fire,Jesse Peretz,,3,No role specified in original data
City on Fire,Lis Rowinski,,4,No role specified in original data
Clarice,Alex Kurtzman,"w, ep",1,
Clarice,Jenny Lumet,"w, ep",2,
Clarice,Elizabeth Klaviter,"ep, sr",3,
Clarice,Heather Kadin,ep,4,
Clarice,Aaron Baiers,co-ep,5,
Class of '09,Tom Rob Smith,"w, ep",1,
Class of '09,Nina Jacobson,"w, ep",2,
Class of '09,Brad Simpson,ep,3,
Class of '09,Nellie Reed,p,4,
Clone High,Phil Lord,"w, ep",1,
Clone High,Chris Miller,"w, ep",2,
Clone High,Bill Lawrence,ep,3,
Clone High,Erica Rivinoja,ep,4,
Conversations with Friends,Sally Rooney,ep,1,
Conversations with Friends,Ed Guiney,ep,2,
Conversations with Friends,Andrew Lowe,,3,No role specified in original data
Conversations with Friends,Emma Norton,,4,No role specified in original data
Conversations with Friends,Rose Garnett Tommy Bulfin,ep,5,
Conversations with Friends,Alice Birch,w,6,
Conversations with Friends,Lenny Abrahamson,d,7,
Conversations with Friends,Catherine Magee,p,8,
Coyote,Michael Carnes,"w, ep",1,
Coyote,Josh Gilbert,"w, ep",2,
Coyote,David Graziano,"ep, sr",3,
Coyote,Michael Chiklis,ep,4,
Coyote,Michelle MacLaren,"d, ep",5,
Coyote,Mike Richardson,ep,6,
Coyote,Keith Goldberg,ep,7,
Coyote,Rebecca Hobbs,ep,8,
Critical Role: The Legend of Vox Machina,Laura Bailey,,1,No role specified in original data
Critical Role: The Legend of Vox Machina,Taliesin Jaffe,,2,No role specified in original data
Critical Role: The Legend of Vox Machina,Ashley Johnson,,3,No role specified in original data
